MainWindow;Rody's Angelica Editor;Rody's Angelica Editor;Rody's Angelica Editor
mbExportList;Экспорт листа;Export The List;导出列表;Exportar lista;
mnuExportToTable;Экспорт всех элементов в таблицу (RAE_Exported_Table.tab);Export To Table (RAE_Exported_Table.Tab);导出到表格（RAE_Exported_Table.tab）;Exportar para tabela (RAE_Exported_Table);
mbExportAddons;Экспорт бонусов;Export Addons;导出属性;Exportar addons;
mbExportAllIconsToJpg;Экспорт всех иконок в .jpg;Export All Item Icons To .Jpg;将所有项目图标导出为.jpg;Exportar todos os ícones para .jpg;
mbSync;Синхронизация;Join Elements.Data;加入elements.data;Unificar elements.data;
mbJoinElements;Открыть окно присоединения elements.data;Join Elements;导入elements.data;Unificar Elements;
mbLocalization;Локализация;Localization (Translate Current File Using Another Elements.Data);本地化（使用另一个elements.data转换当前文件）;Tradução (traduzir elements.data atual com outro elements);
mbActionsHistory;Показать историю изменений elements.data;Action History;显示历史修改记录elements.data;Histórico de ações;
mbUndo;Отменить (Ctrl+Z);Undo (Ctrl+Z);撤销 (Ctrl+Z);Desfazer (Ctrl+Z);
mbRedo;Вернуть (Ctrl+Y);Redo (Ctrl+Y);返回 (Ctrl+Y);Refazer (Ctrl+Y);
mbProtectElements;Защитить файл;Protect Elements.Data;加密elements.data;Proteger elements.data;
mbUnProtectElements;Снять защиту;Unlock Elements.Data;解锁elements.data;Desbloquear elements.data;
mbOctetGenerator;Октеты;Octet Builder;查看XML;Gerador de Octets;
mbEnableModelsWindow;Показывать модели;Enable / Disable Models Preview;启用/禁用模型预览;Habilitar/Desabilitar Preview;
mbEnableRecipesWindow;Показывать котлы;Enable / Disable Recipes Preview;启用/禁用可视化编辑工具【目前只能编辑出售列表和生产服务】;Habilitar/Desabilitar Preview (Recipes);
mbEnableTabs;Показывать вкладки;Enable Tabs;显示标签;Habilitar separadores;
mbEnableHints;Показывать подсказки для элементов и квестов;Enable Items And Quests Hints;显示物品和任务的工具提示;Habilitar itens e dicas na pesquisa;
mbSettings;Настройки;Settings;设置;Configurações;
mbReload;Переоткрыть elements.data;Reload Elements.Data;重新加载elements.data;Recarregar elements.data;
mbReloadTasks;Переоткрыть tasks.data;Reload Tasks.Data;重新加载tasks.data;Recarregar tasks.data;
mbServer;Сервер;Server;服务器;Servidor;
mbSendElements;Сохранить и отправить elements.data;Save And Send Elements.Data To Server;保存并上传elements.data到服务器;Salvar e enviar elements.data para o servidor;
mbRestartServer;Перезапустить gs (данжи и мир);Restart GS (Instances);重新启动GS（实例）;Reiniciar GS (DGs);
mbSendAndRestart;Отправить и перезагрузить;Send Elements.Data And Restart GS;发送elements.data并重新启动GS;Enviar elements e reiniciar GS;
mbServerCustomCommand;Пользовательская команда;Custom Command;自定义命令;Comando custom;
mbOpenPutty;Открыть консоль (Putty);Open Console (Putty);打开控制台（Putty）;Abrir Console (Putty);
mbSendTasks;Отправить tasks.data;Send Tasks.Data;上传tasks.data;Enviar tasks.data;
mbSendGshopSev;Отправить gshopsev.data;Send Gshopsev.Data;上传gshopsev.data;Enviar gshopsev.data;
mnuSendGshopSev1;Отправить gshopsev1.data;Send Gshopsev1.Data;上传gshopsev1.data;Enviar gshopsev1.data;
mnuSendGshopSev2;Отправить gshopsev2.data;Send Gshopsev2.Data;上传gshopsev2.data;Enviar gshopsev2.data;
